Day	Session Name	Poster group number	Paper ID	Track	Session start time	Day and time	Type
2	Virtual Poster Q&A Session 1	9	1049	Machine Learning for NLP: Classification and Structured Prediction Models	8:00	Tues 8:00	main
2	Virtual Poster Q&A Session 1	9	635	Machine Learning for NLP: Language Modeling and Sequence to Sequence Models	8:00	Tues 8:00	findings
2	Virtual Poster Q&A Session 1	9	24	Machine Learning for NLP: Language Modeling and Sequence to Sequence Models	8:00	Tues 8:00	findings
2	Virtual Poster Q&A Session 1	9	253	Machine Learning for NLP: Language Modeling and Sequence to Sequence Models	8:00	Tues 8:00	main
2	Virtual Poster Q&A Session 1	9	237	Machine Learning for NLP: Language Modeling and Sequence to Sequence Models	8:00	Tues 8:00	findings
2	Virtual Poster Q&A Session 1	9	347	Machine Learning for NLP: Language Modeling and Sequence to Sequence Models	8:00	Tues 8:00	findings
2	Virtual Poster Q&A Session 1	9	374	Machine Learning for NLP: Language Modeling and Sequence to Sequence Models	8:00	Tues 8:00	findings
2	Virtual Poster Q&A Session 1	9	671	Machine Learning for NLP: Language Modeling and Sequence to Sequence Models	8:00	Tues 8:00	main
2	Virtual Poster Q&A Session 1	9	921	Machine Learning for NLP: Language Modeling and Sequence to Sequence Models	8:00	Tues 8:00	main
2	Virtual Poster Q&A Session 1	9	179	Machine Learning for NLP: Language Modeling and Sequence to Sequence Models	8:00	Tues 8:00	main
2	Virtual Poster Q&A Session 1	9	19-srw	Machine Learning for NLP: Language Modeling and Sequence to Sequence Models	8:00	Tues 8:00	srw
2	Virtual Poster Q&A Session 1	9	842	Machine Learning for NLP: Language Modeling and Sequence to Sequence Models	8:00	Tues 8:00	main
2	Virtual Poster Q&A Session 1	8	482	Machine Translation	8:00	Tues 8:00	main
2	Virtual Poster Q&A Session 1	8	493	Machine Translation	8:00	Tues 8:00	main
2	Virtual Poster Q&A Session 1	8	4	Machine Translation	8:00	Tues 8:00	main
2	Virtual Poster Q&A Session 1	8	747	Machine Translation	8:00	Tues 8:00	main
2	Virtual Poster Q&A Session 1	8	83	Machine Translation	8:00	Tues 8:00	main
2	Virtual Poster Q&A Session 1	8	110	Machine Translation	8:00	Tues 8:00	main
2	Virtual Poster Q&A Session 1	8	879	Machine Translation	8:00	Tues 8:00	findings
2	Virtual Poster Q&A Session 1	8	37-srw	Machine Translation	8:00	Tues 8:00	srw
3	Virtual Poster Q&A Session 3	10	351	Computational Social Science and Cultural Analytics	8:00	Wed 8:00	main
3	Virtual Poster Q&A Session 3	10	42	Computational Social Science and Cultural Analytics	8:00	Wed 8:00	main
3	Virtual Poster Q&A Session 3	10	852	Computational Social Science and Cultural Analytics	8:00	Wed 8:00	main
3	Virtual Poster Q&A Session 3	10	975	Computational Social Science and Cultural Analytics	8:00	Wed 8:00	main
3	Virtual Poster Q&A Session 3	10	604	Computational Social Science and Cultural Analytics	8:00	Wed 8:00	findings
3	Virtual Poster Q&A Session 3	10	526	Computational Social Science and Cultural Analytics	8:00	Wed 8:00	findings
3	Virtual Poster Q&A Session 3	10	22-srw	Computational Social Science and Cultural Analytics	8:00	Wed 8:00	srw
3	Virtual Poster Q&A Session 3	10	876	Efficient methods in NLP	8:00	Wed 8:00	main
3	Virtual Poster Q&A Session 3	10	296	Efficient methods in NLP	8:00	Wed 8:00	findings
3	Virtual Poster Q&A Session 3	10	775	Efficient methods in NLP	8:00	Wed 8:00	main
3	Virtual Poster Q&A Session 3	10	33-srw	Efficient methods in NLP	8:00	Wed 8:00	srw
3	Virtual Poster Q&A Session 3	10	304	Ethics, Bias, and Fairness	8:00	Wed 8:00	findings
3	Virtual Poster Q&A Session 3	10	549	Ethics, Bias, and Fairness	8:00	Wed 8:00	main
3	Virtual Poster Q&A Session 3	10	54-srw	Ethics, Bias, and Fairness	8:00	Wed 8:00	srw
3	Virtual Poster Q&A Session 3	10	60-srw	Ethics, Bias, and Fairness	8:00	Wed 8:00	srw
3	Virtual Poster Q&A Session 3	11	238	Language Generation	8:00	Wed 8:00	main
3	Virtual Poster Q&A Session 3	11	598	Language Generation	8:00	Wed 8:00	findings
3	Virtual Poster Q&A Session 3	11	916	Language Generation	8:00	Wed 8:00	findings
3	Virtual Poster Q&A Session 3	11	23-srw	Language Generation	8:00	Wed 8:00	srw
3	Virtual Poster Q&A Session 3	11	821	Language Grounding to Vision, Robotics and Beyond	8:00	Wed 8:00	main
3	Virtual Poster Q&A Session 3	11	641	Language Grounding to Vision, Robotics and Beyond	8:00	Wed 8:00	findings
3	Virtual Poster Q&A Session 3	11	1028	Language Resources and Evaluation	8:00	Wed 8:00	findings
3	Virtual Poster Q&A Session 3	11	258	Language Resources and Evaluation	8:00	Wed 8:00	findings
3	Virtual Poster Q&A Session 3	11	544	Language Resources and Evaluation	8:00	Wed 8:00	main
3	Virtual Poster Q&A Session 3	11	283	Language Resources and Evaluation	8:00	Wed 8:00	main
